name,total_shipped,genres,themes,game_engines,age_ratings
the sims: makin' magic,1.92,"['role-playing (rpg)', 'simulator', 'strategy', 'adventure']","['fantasy', 'comedy', 'sandbox', 'romance']",the sims engine,t
shrek 2,1.86,"['platform', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'kids']",unreal engine 2,e
turok 2: seeds of evil,1.5,"['shooter', 'platform', 'adventure']","['action', 'fantasy', 'science fiction']",kex,m
the evil within,1.86,"['shooter', 'puzzle', 'adventure']","['action', 'horror', 'survival']",id tech 5,m
max payne 3,1.86,['shooter'],"['action', 'thriller', 'sandbox']",rage,m
jak 3,1.85,"['shooter', 'platform', 'adventure']","['action', 'science fiction', 'comedy']",kinetica,t
rayman raving rabbids 2,1.84,"['music', 'platform', 'puzzle']","['action', 'comedy', 'party']",jade,e10
secret of mana,1.83,"['role-playing (rpg)', 'adventure']","['action', 'fantasy']",phyreengine,e10
demon's souls,1.0,"['role-playing (rpg)', 'adventure']","['action', 'fantasy']",bluepoint engine,m
the sims: hot date,1.82,"['role-playing (rpg)', 'simulator', 'strategy', 'adventure']","['fantasy', 'comedy', 'sandbox', 'romance']",the sims engine,t
virtua fighter 4,1.68,['fighting'],['action'],sega naomi,t
sly 2: band of thieves,1.81,"['platform', 'adventure']","['action', 'stealth', 'comedy']",kinetica,e
metroid prime 3: corruption,1.41,"['shooter', 'platform', 'adventure']","['action', 'science fiction']",rude,t
the crew,1.79,"['racing', 'adventure']","['action', 'open world']",babel engine,t
the getaway: black monday,1.78,"['shooter', 'racing']","['action', 'open world']",kinetica,m
dragon's dogma,1.76,"['role-playing (rpg)', ""hack and slash/beat 'em up""]","['action', 'fantasy', 'historical', 'sandbox']",mt framework,m
the spongebob squarepants movie,1.76,"['platform', 'adventure']",['action'],renderware,e
just cause 2,1.75,"['shooter', 'racing', 'adventure']","['action', 'sandbox', 'open world']",havok physics,m
for honor,1.75,"['fighting', ""hack and slash/beat 'em up""]","['action', 'historical']",anvilnext,m
crackdown,1.5,"['fighting', 'shooter', 'role-playing (rpg)', 'adventure']","['action', 'science fiction', 'sandbox']",havok physics,m
dance dance revolution x,1.75,"['music', 'arcade']",['party'],bemani pc type 4,e10
shadow of the tomb raider,1.74,"['shooter', 'adventure']","['action', 'survival', 'historical', 'stealth', 'mystery']",crystal engine,m
sonic colors,1.8,"['platform', 'adventure']","['action', 'kids']",physx,e
